array,sampling_rate,song_id,genre_id,genre
"[-3.96039361e-08  5.95721588e-08  4.81738653e-07 ... -2.05384627e-01
 -2.16056608e-01 -2.27448314e-01]",44100,13140,8,Pop
"[-1.63412106e-09 -1.84849096e-08 -6.64104078e-08 ... -1.01765200e-01
 -1.04080543e-01 -1.44768208e-01]",44100,537,7,Instrumental
"[ 0.          0.          0.         ... -0.2542564  -0.24783681
 -0.20470518]",44100,21525,9,International
"[2.56740741e-07 4.93205860e-07 5.60177469e-07 ... 3.09105426e-01
 2.93242231e-01 2.73275979e-01]",44100,2098,0,Electronic
"[-0.06823457 -0.05169782 -0.03181215 ... -0.37295504 -0.35096584
 -0.28590864]",44100,22272,2,Punk
[0.         0.         0.         ... 0.19017469 0.19489568 0.20905792],44100,19835,2,Punk
[0.17431329 0.18444426 0.19506504 ... 0.39187881 0.44039598 0.47528902],44100,17820,8,Pop
"[-1.83978849e-09 -2.06365716e-08 -3.45722775e-08 ...  9.56246592e-02
  8.34111124e-02  2.57409522e-02]",44100,8839,6,Chiptune / Glitch
"[-5.93764204e-10  3.91267463e-10  1.35163525e-08 ... -2.59843379e-01
 -2.70068146e-01 -2.77890883e-01]",44100,2890,7,Instrumental
"[ 1.52405408e-10  2.96233177e-12 -1.37362033e-09 ...  4.35490049e-02
  4.11942042e-02  3.88655327e-02]",44100,1104,3,Experimental
"[-0.06740187 -0.0725107  -0.07756775 ...  0.05362739  0.05087887
  0.04758386]",44100,538,0,Electronic
"[ 0.          0.          0.         ... -0.02801017 -0.11471161
 -0.14152323]",44100,17456,1,Rock
"[ 0.14890838  0.15474895  0.16029136 ... -0.22113866 -0.23327624
 -0.32610667]",44100,4303,6,Chiptune / Glitch
"[-5.02926756e-10 -2.89670488e-09 -6.38250119e-09 ...  5.17865680e-02
  5.42570762e-02  5.94396032e-02]",44100,15873,3,Experimental
"[-9.22574586e-08 -2.66930329e-07 -4.52005452e-07 ...  5.23590147e-01
  4.39938217e-01  3.63608897e-01]",44100,17892,5,Folk
"[-6.63765888e-07 -4.71975042e-07 -4.02983787e-07 ...  9.22740754e-02
  7.80548938e-02  7.51133785e-02]",44100,20257,8,Pop
"[ 0.          0.          0.         ... -0.01333044 -0.00607969
  0.01168346]",44100,20457,0,Electronic
[0.         0.         0.         ... 0.05339281 0.05501962 0.05672497],44100,22078,5,Folk
"[ 0.          0.          0.         ... -0.77729017 -0.77702948
 -0.74448323]",44100,10641,1,Rock
"[ 0.          0.          0.         ... -0.0531035  -0.05919876
 -0.07950347]",44100,20347,8,Pop
"[ 0.          0.          0.         ... -0.06425323 -0.0795589
 -0.08878975]",44100,9037,2,Punk
"[ 0.          0.          0.         ...  0.03305781  0.00529795
 -0.01663616]",44100,13219,1,Rock
"[-0.50012396 -0.51765826 -0.52589193 ...  0.60860768  0.6423102
  0.66964924]",44100,6419,0,Electronic
"[ 1.92472407e-08 -7.41716200e-09 -6.67147511e-08 ...  4.36775656e-02
  4.98595554e-02  5.39824879e-02]",44100,22422,4,Hip-Hop
[0.         0.         0.         ... 0.09673822 0.11108055 0.1296207 ],44100,8601,2,Punk
"[ 0.          0.          0.         ... -0.0336211   0.03075889
  0.08271342]",44100,1391,2,Punk
"[-3.40538726e-07  1.39593652e-08  2.52222492e-07 ... -1.18972510e-02
  5.13913482e-03  5.26218489e-03]",44100,22986,9,International
"[-1.32436377e-07 -4.74530438e-07  8.30034832e-08 ... -4.18910980e-01
 -4.32223305e-01 -4.38935444e-01]",44100,5468,4,Hip-Hop
"[5.89514548e-10 2.93482949e-09 3.93833410e-09 ... 9.18042883e-02
 9.22662914e-02 1.21730119e-01]",44100,14834,6,Chiptune / Glitch
"[ 4.15013718e-10  7.80307197e-09  3.07888897e-08 ... -2.30954923e-02
 -5.64731918e-02 -9.61028934e-02]",44100,9390,5,Folk
"[ 0.          0.          0.         ... -0.03253068 -0.04205543
 -0.06187889]",44100,6099,1,Rock
"[ 1.24110888e-10 -1.51816995e-08 -5.34662057e-08 ...  2.09232725e-01
  3.21291581e-01  4.69070584e-01]",44100,2628,6,Chiptune / Glitch
"[-1.08335570e-07 -8.33430974e-07 -9.19311454e-07 ... -4.76375446e-02
 -4.05515656e-02 -3.28476876e-02]",44100,10563,4,Hip-Hop
[0.         0.         0.         ... 0.2661019  0.22725548 0.18920228],44100,8620,2,Punk
"[5.61810495e-07 4.65809968e-07 8.82921682e-08 ... 5.07682800e-01
 4.22319368e-01 3.40145230e-01]",44100,2619,1,Rock
"[-2.22759235e-10 -3.00309934e-09  1.52809565e-09 ... -7.75508750e-02
 -8.18806875e-02 -8.58315364e-02]",44100,5170,6,Chiptune / Glitch
[0.15184972 0.15986282 0.17016122 ... 0.15057663 0.18241674 0.4959161 ],44100,19809,8,Pop
"[ 0.04185868  0.03585167  0.03485698 ... -0.03021689 -0.02731941
 -0.02430435]",44100,23304,0,Electronic
[0.10775129 0.11365601 0.11748279 ... 0.02864097 0.02671226 0.02423325],44100,6611,9,International
"[ 0.          0.          0.         ... -0.01537866 -0.01535479
 -0.01965377]",44100,9011,1,Rock
"[ 0.          0.          0.         ... -0.18335687 -0.18717194
 -0.19082011]",44100,16369,9,International
"[-0.07031213 -0.07189404 -0.07394885 ...  0.12115726  0.13354574
  0.13613836]",44100,5904,3,Experimental
"[-3.97784511e-07 -2.89957836e-07 -7.06299161e-08 ...  7.38274758e-02
  6.47358000e-02  6.81254937e-02]",44100,11304,3,Experimental
"[ 1.16069032e-07  1.36160139e-07 -1.10445626e-07 ...  9.91422534e-02
  8.99767093e-02  6.63277153e-02]",44100,4125,2,Punk
"[ 0.          0.          0.         ... -0.05732097 -0.06134768
 -0.06887554]",44100,7377,5,Folk
"[ 0.          0.          0.         ... -0.03036501 -0.03833232
 -0.05255502]",44100,22282,0,Electronic
"[-0.04944045 -0.04676035 -0.04637643 ... -0.02167438 -0.01856813
 -0.01250952]",44100,15355,0,Electronic
"[-1.65406644e-09 -1.46683061e-08 -2.97415053e-08 ...  1.50318779e-01
  1.77834459e-01  2.00881511e-01]",44100,20406,1,Rock
[0.         0.         0.         ... 0.32185875 0.47104469 0.55123407],44100,15098,3,Experimental
"[ 0.08865452  0.08777375  0.08867833 ... -0.01427544  0.07654868
  0.12250611]",44100,4390,3,Experimental
[0.         0.         0.         ... 0.17200099 0.22850219 0.24634747],44100,6679,2,Punk
[0.         0.         0.         ... 0.4570484  0.63833231 0.29807007],44100,11169,1,Rock
"[ 0.          0.          0.         ... -0.06755341  0.00030567
 -0.01564418]",44100,445,3,Experimental
"[ 7.36192334e-07  6.02350724e-07  4.75476821e-07 ... -5.45073807e-01
 -5.52214786e-01 -5.58154434e-01]",44100,6041,0,Electronic
"[ 0.          0.          0.         ...  0.12595114  0.02964639
 -0.04395217]",48000,10339,8,Pop
[0.         0.         0.         ... 0.05241407 0.09111974 0.09081809],44100,11603,1,Rock
"[-6.84434759e-10 -4.95421837e-09 -2.42104253e-08 ... -1.17478766e-01
 -1.15584388e-01 -1.18175559e-01]",44100,23511,8,Pop
